member_id,event_id,checkin_time
3120123001,EV003,2026-05-10T08:00:00
3120123002,EV003,2026-05-10T08:00:00
3120123004,EV003,2026-05-10T08:00:00
3120123005,EV003,2026-05-10T08:00:00
3120123006,EV003,2026-05-10T08:00:00
3120123013,EV003,2026-05-10T08:00:00
3120123014,EV003,2026-05-10T08:00:00
3120123016,EV003,2026-05-10T08:00:00
3120123018,EV003,2026-05-10T08:00:00
3120123020,EV003,2026-05-10T08:00:00
3120123021,EV003,2026-05-10T08:00:00
3120123026,EV003,2026-05-10T08:00:00
3120123028,EV003,2026-05-10T08:00:00
3120123032,EV003,2026-05-10T08:00:00
3120123033,EV003,2026-05-10T08:00:00
3120123034,EV003,2026-05-10T08:00:00
3120123035,EV003,2026-05-10T08:00:00
3120123036,EV003,2026-05-10T08:00:00
3120123040,EV003,2026-05-10T08:00:00
3120123044,EV003,2026-05-10T08:00:00
3120123048,EV003,2026-05-10T08:00:00
3120123051,EV003,2026-05-10T08:00:00
3120123053,EV003,2026-05-10T08:00:00
3120123055,EV003,2026-05-10T08:00:00
3120123059,EV003,2026-05-10T08:00:00
3120123061,EV003,2026-05-10T08:00:00
3120123063,EV003,2026-05-10T08:00:00
3120123064,EV003,2026-05-10T08:00:00
3120123065,EV003,2026-05-10T08:00:00
3120123069,EV003,2026-05-10T08:00:00
3120123070,EV003,2026-05-10T08:00:00
3120123001,EV006,2026-03-31T08:00:00
3120123002,EV006,2026-03-31T08:00:00
3120123005,EV006,2026-03-31T08:00:00
3120123006,EV006,2026-03-31T08:00:00
3120123007,EV006,2026-03-31T08:00:00
3120123014,EV006,2026-03-31T08:00:00
3120123018,EV006,2026-03-31T08:00:00
3120123020,EV006,2026-03-31T08:00:00
3120123021,EV006,2026-03-31T08:00:00
3120123025,EV006,2026-03-31T08:00:00
3120123031,EV006,2026-03-31T08:00:00
3120123033,EV006,2026-03-31T08:00:00
3120123034,EV006,2026-03-31T08:00:00
3120123035,EV006,2026-03-31T08:00:00
3120123036,EV006,2026-03-31T08:00:00
3120123044,EV006,2026-03-31T08:00:00
3120123047,EV006,2026-03-31T08:00:00
3120123048,EV006,2026-03-31T08:00:00
